summoners,result,time,champion,d_spell,f_spell,kill,deths,assist,level,kill_part,cs,ward
danjuan rose,Victory,38m 16s,Rakan,Ignite,Flash,0,6,23,15,68,33,18
danjuan rose,Victory,24m 3s,Nami,Ignite,Flash,3,3,13,12,55,17,9
danjuan rose,Defeat,18m 59s,Leona,Ignite,Flash,2,6,7,8,75,23,7
danjuan rose,Victory,18m 41s,Senna,Heal,Flash,1,0,8,10,39,50,1
danjuan rose,Defeat,19m 47s,Yuumi,Exhaust,Ignite,0,7,8,10,80,3,5
danjuan rose,Victory,32m 44s,Rakan,Ignite,Flash,2,7,26,15,60,41,13
danjuan rose,Victory,15m 28s,Leona,Ignite,Flash,0,1,1,7,9,25,5
danjuan rose,Victory,21m 41s,Tahm Kench,Exhaust,Flash,2,0,16,13,67,146,3
danjuan rose,Victory,18m 40s,Rakan,Ignite,Flash,1,4,18,10,56,27,5
danjuan rose,Defeat,23m 44s,Renata Glasc,Ignite,Flash,2,6,8,11,53,18,5
danjuan rose,Defeat,17m 5s,Sion,Mark,Flash,2,13,4,15,29,44,0
danjuan rose,Victory,27m 39s,Renata Glasc,Ignite,Flash,1,5,19,13,56,14,10
danjuan rose,Defeat,21m 32s,Sett,Ignite,Flash,1,10,6,10,44,43,6
danjuan rose,Victory,35m 41s,Renata Glasc,Ignite,Flash,2,6,21,16,55,22,14
danjuan rose,Defeat,22m 25s,Ziggs,Teleport,Flash,1,7,3,13,27,167,1
danjuan rose,Defeat,21m 4s,Karma,Ignite,Flash,0,7,5,8,71,12,7
danjuan rose,Victory,20m 53s,Rakan,Ignite,Flash,3,0,7,10,71,28,8
danjuan rose,Defeat,22m 16s,Karma,Ignite,Flash,1,7,7,10,62,26,5
danjuan rose,Victory,25m 11s,Rakan,Ignite,Flash,1,6,21,12,88,9,10
danjuan rose,Defeat,31m 40s,Nautilus,Ignite,Flash,0,12,13,12,62,28,10
dalongmeil,Victory,25m 53s,Viego,Smite,Flash,6,4,11,15,49,147,19
dalongmeil,Defeat,16m 30s,Graves,Smite,Flash,2,5,0,9,40,100,6
dalongmeil,Defeat,22m 8s,Lillia,Smite,Flash,4,8,2,12,50,141,7
dalongmeil,Defeat,35m 28s,Nautilus,Ignite,Flash,2,12,15,14,52,26,15
dalongmeil,Victory,20m 14s,Nasus,Ghost,Flash,11,10,23,18,62,84,0
