summoners,result,time,champion,d_spell,f_spell,kill,deths,assist,level,kill_part,cs,ward,kda
danjuan rose,1,2296,Rakan,Ignite,Flash,0,6,23,15,68,33,18,3.8
danjuan rose,1,1443,Nami,Ignite,Flash,3,3,13,12,55,17,9,5.3
danjuan rose,0,1139,Leona,Ignite,Flash,2,6,7,8,75,23,7,1.5
danjuan rose,1,1121,Senna,Heal,Flash,1,0,8,10,39,50,1,10.8
danjuan rose,0,1187,Yuumi,Exhaust,Ignite,0,7,8,10,80,3,5,1.1
danjuan rose,1,1964,Rakan,Ignite,Flash,2,7,26,15,60,41,13,4.0
danjuan rose,1,928,Leona,Ignite,Flash,0,1,1,7,9,25,5,1.0
danjuan rose,1,1301,Tahm Kench,Exhaust,Flash,2,0,16,13,67,146,3,21.6
danjuan rose,1,1120,Rakan,Ignite,Flash,1,4,18,10,56,27,5,4.8
danjuan rose,0,1424,Renata Glasc,Ignite,Flash,2,6,8,11,53,18,5,1.7
danjuan rose,1,1659,Renata Glasc,Ignite,Flash,1,5,19,13,56,14,10,4.0
danjuan rose,0,1292,Sett,Ignite,Flash,1,10,6,10,44,43,6,0.7
danjuan rose,1,2141,Renata Glasc,Ignite,Flash,2,6,21,16,55,22,14,3.8
danjuan rose,0,1345,Ziggs,Teleport,Flash,1,7,3,13,27,167,1,0.6
danjuan rose,0,1264,Karma,Ignite,Flash,0,7,5,8,71,12,7,0.7
danjuan rose,1,1253,Rakan,Ignite,Flash,3,0,7,10,71,28,8,12.0
danjuan rose,0,1336,Karma,Ignite,Flash,1,7,7,10,62,26,5,1.1
danjuan rose,1,1511,Rakan,Ignite,Flash,1,6,21,12,88,9,10,3.7
danjuan rose,0,1900,Nautilus,Ignite,Flash,0,12,13,12,62,28,10,1.1
dalongmeil,1,1553,Viego,Smite,Flash,6,4,11,15,49,147,19,4.2
dalongmeil,0,990,Graves,Smite,Flash,2,5,0,9,40,100,6,0.4
dalongmeil,0,1328,Lillia,Smite,Flash,4,8,2,12,50,141,7,0.8
dalongmeil,0,2128,Nautilus,Ignite,Flash,2,12,15,14,52,26,15,1.4
dalongmeil,1,1214,Nasus,Ghost,Flash,11,10,23,18,62,84,0,3.4
dalongmeil,0,1415,Lee Sin,Smite,Flash,3,3,3,11,50,91,8,2.0
dalongmeil,1,1278,Graves,Smite,Flash,5,1,4,13,39,188,3,9.0
dalongmeil,1,1650,Lee Sin,Smite,Flash,11,3,14,16,81,158,5,8.3
dalongmeil,0,1039,Viego,Smite,Flash,3,4,2,9,56,70,6,1.2
dalongmeil,1,1872,Viego,Smite,Flash,11,6,16,16,75,158,25,4.5
dalongmeil,1,1471,Diana,Smite,Flash,10,4,8,14,56,153,5,4.5
dalongmeil,0,1646,Graves,Smite,Flash,9,9,10,13,66,157,6,2.1
dalongmeil,1,923,Graves,Smite,Flash,8,1,6,11,48,124,2,14.0
dalongmeil,0,1380,Rakan,Ignite,Flash,0,8,10,10,53,37,4,1.2
dalongmeil,0,1687,Nocturne,Smite,Flash,5,10,13,14,67,132,6,1.8
dalongmeil,0,1630,Nautilus,Ignite,Flash,2,6,11,12,46,31,9,2.2
dalongmeil,1,1346,Nautilus,Ignite,Flash,0,8,21,11,66,34,8,2.6
dalongmeil,1,1331,Lucian,Cleanse,Flash,13,14,21,18,53,88,0,2.4
